"","CRPS Prior 1","CRPS Prior 2","Coverage Prior 1","Coverage Prior 2","CRPS Prior 1 RAND","CRPS Prior 2 RAND","Coverage Prior 1 RAND","Coverage Prior 2 RAND"
"1",0.234228541718611,0.230945592639543,1,1,0.250629088830315,0.336640821807936,1,0.966666666666667
"2",0.232973823133463,0.227639695363746,1,1,0.234120407897448,0.251696275875344,1,1
"3",0.232886095972937,0.23630558098789,1,1,3.83885321688973,3.85514620875182,0.9,0.9
"4",0.233618025450946,0.23261888753432,1,1,0.237377961474837,0.274192255464835,1,1
"5",0.235542085490657,0.22818901924677,1,1,0.245923962157768,0.29431055478946,1,1
"6",0.23695000232313,0.267832679026078,1,1,0.239605588833127,0.267575282441296,1,1
"7",0.237022451316463,0.336616648092548,1,0.833333333333333,0.246289264240896,0.454166048155422,1,0.833333333333333
"8",0.233779070770352,0.240526964605102,1,1,0.241368759029721,0.294157674927625,1,1
"9",0.233312418694132,0.23652875763515,1,1,0.25580603382003,0.290004503365924,1,1
"10",0.232110193312682,0.227983256972701,1,1,0.235930045039147,0.290799264072325,1,1
"11",0.23423299498415,0.237213302694125,1,1,0.237150811637093,0.288036665501258,1,1
"12",0.234425626902633,0.238961704779746,1,1,0.237143906837353,0.245234056963754,1,1
"13",0.232069773675013,0.231515919090798,1,1,0.234542393882216,0.238818785364938,1,1
"14",0.233728944474671,0.246940284760687,1,1,0.23966141227156,0.30999526274313,1,1
"15",0.233640674038644,0.233113157234235,1,1,0.244536513056097,0.255966840185308,1,1
"16",0.23490296752239,0.263339954453631,1,1,4.2726416477165,4.32861718069212,0.9,0.9
"17",0.244745679668296,0.283218964887189,1,1,3.92147693855121,2.83609549350286,0.866666666666667,0.933333333333333
"18",0.233430807528167,0.234169519203502,1,1,1.77651064791014,1.79266569226538,0.966666666666667,0.966666666666667
"19",0.232637438868545,0.219974661837676,1,1,0.237004623828801,0.243712337352925,1,1
"20",0.231849265658261,0.227550849398489,1,1,0.257023571436005,0.277998661286575,1,1
"21",0.234607492086622,0.240691173307079,1,1,1.2645918697531,1.27752229604499,0.966666666666667,0.966666666666667
"22",0.234483613135826,0.231379772182992,1,1,2.09911457319688,2.15821803873673,0.966666666666667,0.966666666666667
"23",0.250724414432028,0.254031162702922,1,1,0.26403262243866,0.270720161865023,1,1
"24",0.242080572717536,0.243478390710502,1,1,2.38125808233426,2.60443375468985,0.966666666666667,0.9
"25",0.233624869824817,0.232126069864637,1,1,3.3124556945354,3.36219393331426,0.933333333333333,0.933333333333333
"26",0.233825591122839,0.289536741608124,1,1,2.23554442196629,2.26798157342159,0.933333333333333,0.933333333333333
"27",0.23343693423343,0.23490574869989,1,1,1.34043829167428,1.3596865414561,0.966666666666667,0.966666666666667
"28",0.233478499661973,0.232155665479406,1,1,0.238185518331126,0.234167544722223,1,1
"29",0.235619244315654,0.235756923995401,1,1,0.263222603051964,0.32281493039067,1,0.966666666666667
